T,A,R,n,R4
300,6.262e-01±4.641e-02,30.191±0.039,2.324±0.095,1.87±0.005
255,1.266e+00±1.154e-02,36.441±0.014,2.341±0.012,2.324±0.006
170,3.598e+00±1.046e-01,73.316±0.601,1.881±0.017,3.381±0.005
160,4.818e+00±6.736e-02,77.731±0.397,1.65±0.01,3.33±0.011
150,5.821e+00±1.681e-01,105.377±1.845,1.575±0.015,3.574±0.007
140,6.263e+00±9.101e-02,112.316±1.129,1.508±0.008,3.568±0.012
130,6.953e+00±1.932e-01,160.831±4.948,1.481±0.012,3.731±0.008
120,7.546e+00±1.373e-01,208.957±5.924,1.412±0.008,3.707±0.019
110,6.945e+00±1.711e-01,259.125±11.376,1.457±0.01,3.848±0.009
100,7.790e+00±1.612e-01,442.728±31.294,1.372±0.008,3.767±0.022
