T,Rr,Cr,Lr,Rl,Cl,Rn,Cn
280,2.13E+00,9.54E+05,3.73E+00,3.07E-09,1.04E+01,-8.41E+00,6.34E-10
260,1.96E-27,3.54E+05,3.82E+00,3.36E-09,1.04E+01,-8.22E+00,7.71E-10
240,9.99E-10,7.92E+04,3.33E+00,3.18E-09,1.06E+01,-8.24E+00,1.55E-09
220,1.00E-09,1.42E+03,3.13E+00,4.10E-09,1.06E+01,-8.11E+00,1.00E-09
200,1.93E+00,1.82E+01,3.28E+00,4.69E-09,1.22E+01,-9.19E+00,2.21E-09
180,2.50E-03,1.40E+06,2.74E+00,6.05E-09,1.26E+01,-9.39E+00,2.89E-09
160,2.44E+00,2.38E+05,2.86E+00,7.87E-09,1.36E+01,-1.02E+01,3.35E-09
140,1.00E-09,9.10E+03,2.80E+00,1.08E-08,1.53E+01,-1.17E+01,3.66E-09
120,8.64E-05,1.09E+02,3.31E+00,1.29E-08,1.96E+01,-1.60E+01,2.90E-09
100,5.00E-02,1.00E-01,3.34E+00,1.87E-08,2.40E+01,-2.03E+01,4.02E-09
85,1.85E+00,1.32E+06,2.27E+00,3.37E-08,2.43E+01,-2.08E+01,1.03E-08
