T,R1,L1,C1,R2,C2,R3,C3
290,8.007125593633997@4.060182869122288,1.9707826446656886@1.9992654953894928,4.8129103343962645e-09@3.2442515353848455e-09,-6.124611133739536@4.0610744129973195,1.7254575648806887e-09@5.247390351609464e-09,0.024337366470187617@0.0020298243201765463,0.0005079905054867623@0.00011023888666735167
270,10.403865881454832@3.510236904728915,2.8689216418345738@1.9367442404082749,4.1564095079235324e-09@1.5392925305262817e-09,-8.420715582151933@3.511209591747351,6.024731028443418e-12@2.032281415936627e-09,0.025804110614176357@0.002124596219302387,0.0004901031765276265@0.00010431926105541801
250,11.419471095711835@2.329170182157096,2.724285085560923@1.112060608102238,4.981802593950642e-09@1.1496250187774637e-09,-9.214266952118964@2.330327673454082,1.0000000000000003e-15@1.4452810166299768e-09,0.02680399929963709@0.0024033942133828245,0.0004473492965392111@0.00010255706100111314
230,12.364922322120284@1.709726614696212,2.6279937870182013@0.7275001004541524,5.604414769484634e-09@8.970849842799788e-10,-9.976845511175176@1.7109391053096996,1.0000000000000003e-15@1.0859356693349712e-09,0.03227059995953675@0.0025695461173058675,0.00038945619943127016@7.940398086475736e-05
210,16.452504778120392@0.6522398120437578,2.8668204594894697@0.22804539870175064,6.049538926758451e-09@2.9898225208195464e-10,-13.85431727075461@0.6536982370282952,1.0000000000000003e-15@3.002760718256576e-10,0.03256308650760641@0.0027901619385176154,0.00033762788505465875@7.194570126452651e-05
190,22.210822491056167@0.41005267588018496,3.9393861684846025@0.14709950726157564,5.266224871502163e-09@1.2975662523282835e-10,-19.399796328528808@0.4120125231522823,1.0000000000000003e-15@1.151872011780976e-10,0.04115172941629153@0.003653515403733821,0.00025815461041909236@5.6107916887092336e-05
170,22.45662999600971@0.19197132565090036,2.646878349010825@0.04822585163487347,1.0010870947309412e-08@1.5115414152973093e-10,-19.344762231551055@0.1945053252901605,2.7011848364017213e-09@1.3146257829089689e-10,0.039759912864322275@0.005548826354520037,0.0003572036695157336@0.00012581088143229157
150,28.353817371666096@0.16430470415127907,3.135636396982504@0.05132922847825643,1.2256132759483438e-08@1.4006813697801423e-10,-25.065161322290734@0.16660367417990848,3.381026346419905e-09@1.116143509033363e-10,0.027296935453151712@0.009850192342724063,0.001405904064759005@0.0013307983151669492
130,68.06317473935195@0.12566684189006574,11.386206841075131@0.18647593904481083,7.333000905065525e-09@3.9522859435861135e-11,-64.67170738195638@0.13762865351012157,4.159567764171516e-11@1.8472012072482916e-11,0.09182054925292278@0.02924050664200956,0.0002491416128225465@0.00020071238798919118
110,164.01615454362127@1.1018260245090825,23.31688454097717@5.200208181130333,1.004760416085735e-08@2.6721982966825446e-10,-160.87667005695053@1.136061204894214,1.3368551626933735e-11@1.1469451078429318e-10,83.95005132918632@0.0,7.796241505246323@0.0017283626064891558
90,252.84879772710178@3.701082012045506,45.547207408036044@34.63620267450687,1.1423929942750479e-08@6.620472328639404e-10,-250.42833742768852@3.8089623187048205,5.009999999999939e-13@2.5950862771642183e-10,72.08126448236519@0.0,16.266272301064497@0.004246236791190235
70,407.6966461148976@6.421877807450913,76.98758104889212@66.36314318758012,1.1723917518965205e-08@7.224780687631769e-10,-407.1530874661762@6.618944091214661,1.4355932780670955e-12@2.7622856572521494e-10,421.77838863452274@0.0,16.513382095788664@0.008676459337996432
